127.0.0.1, 2017-03-30 16:40:37, GET, /admin/default/edit/earnings_reports/models/companies.py, HTTP/1.1, 200, 0.050904
127.0.0.1, 2017-03-30 16:40:51, GET, /earnings_reports/appadmin/hooks, HTTP/1.1, 500, 0.209521
127.0.0.1, 2017-03-30 16:40:51, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.220996
127.0.0.1, 2017-03-30 16:40:55, GET, /admin/default/design/earnings_reports, HTTP/1.1, 200, 0.354052
127.0.0.1, 2017-03-30 16:40:55, GET, /favicon.ico, HTTP/1.1, 400, 0.000545
127.0.0.1, 2017-03-30 16:40:59, GET, /admin/default/edit/earnings_reports/models/earnings_reports.py, HTTP/1.1, 200, 0.078737
127.0.0.1, 2017-03-30 16:41:00, GET, /favicon.ico, HTTP/1.1, 400, 0.001163
127.0.0.1, 2017-03-30 16:41:00, GET, /admin/default/edit/earnings_reports/models/earnings_reports.py, HTTP/1.1, 200, 0.206776
127.0.0.1, 2017-03-30 16:41:00, GET, /earnings_reports/appadmin/hooks, HTTP/1.1, 500, 0.430281
127.0.0.1, 2017-03-30 16:41:00, GET, /admin/default/editor_sessions, HTTP/1.1, 200, 0.448225
127.0.0.1, 2017-03-30 16:41:00, GET, /admin/default/files_menu, HTTP/1.1, 200, 0.537321
127.0.0.1, 2017-03-30 16:41:00, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.580952
127.0.0.1, 2017-03-30 16:41:00, POST, /admin/debug/list_breakpoints, HTTP/1.1, 200, 0.348349
127.0.0.1, 2017-03-30 16:41:14, GET, /admin/default/edit/earnings_reports/models/earnings_reports.py, HTTP/1.1, 200, 0.037510
127.0.0.1, 2017-03-30 16:41:23, GET, /admin/default/edit/earnings_reports/models/companies.py, HTTP/1.1, 200, 0.047357
127.0.0.1, 2017-03-30 16:41:23, POST, /admin/debug/list_breakpoints, HTTP/1.1, 200, 0.021294
127.0.0.1, 2017-03-30 16:42:02, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.351073
127.0.0.1, 2017-03-30 16:42:02, GET, /earnings_reports/appadmin/hooks, HTTP/1.1, 500, 0.350428
127.0.0.1, 2017-03-30 16:42:36, GET, /admin/default/edit/earnings_reports/models/earnings_reports.py, HTTP/1.1, 200, 0.085504
127.0.0.1, 2017-03-30 16:42:37, GET, /favicon.ico, HTTP/1.1, 400, 0.001768
127.0.0.1, 2017-03-30 16:42:37, GET, /admin/default/edit/earnings_reports/models/earnings_reports.py, HTTP/1.1, 200, 0.241787
127.0.0.1, 2017-03-30 16:42:37, GET, /earnings_reports/appadmin/hooks, HTTP/1.1, 500, 0.450343
127.0.0.1, 2017-03-30 16:42:37, GET, /admin/default/editor_sessions, HTTP/1.1, 200, 0.499531
127.0.0.1, 2017-03-30 16:42:37, GET, /admin/default/files_menu, HTTP/1.1, 200, 0.597699
127.0.0.1, 2017-03-30 16:42:37, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.643973
